Dataset,Project,Deffects (%),Percent,Classifier,F1,AUC,PF
PROMISE,jedit-4.3,11 (2.24 %),2.24,EASC-DT,0.0784,0.6164,0.2827
PROMISE,jedit-4.3,11 (2.24 %),2.24,EASC-LR,0.098,0.6528,0.1788
PROMISE,jedit-4.3,11 (2.24 %),2.24,EASC-NB,0.0813,0.5897,0.2225
PROMISE,jedit-4.3,11 (2.24 %),2.24,EASC-RBF,0.0945,0.6339,0.2287
PROMISE,jedit-4.3,11 (2.24 %),2.24,EASC-RF,0.0833,0.6292,0.2162
PROMISE,jedit-4.3,11 (2.24 %),2.24,EASC-SVM,0.1224,0.688,0.1684
PROMISE,camel-1.0,13 (3.83 %),3.83,EASC-DT,0.2,0.6975,0.181
PROMISE,camel-1.0,13 (3.83 %),3.83,EASC-LR,0.0,0.5838,0.0153
PROMISE,camel-1.0,13 (3.83 %),3.83,EASC-NB,0.3077,0.7999,0.0613
PROMISE,camel-1.0,13 (3.83 %),3.83,EASC-RBF,0.129,0.6022,0.0491
PROMISE,camel-1.0,13 (3.83 %),3.83,EASC-RF,0.2308,0.7613,0.1012
PROMISE,camel-1.0,13 (3.83 %),3.83,EASC-SVM,0.1,0.6215,0.0184
PROMISE,ivy-1.4,16 (6.64 %),6.64,EASC-DT,0.1176,0.495,0.2133
PROMISE,ivy-1.4,16 (6.64 %),6.64,EASC-LR,0.2162,0.6869,0.0756
PROMISE,ivy-1.4,16 (6.64 %),6.64,EASC-NB,0.2927,0.739,0.0844
PROMISE,ivy-1.4,16 (6.64 %),6.64,EASC-RBF,0.2,0.7731,0.0889
PROMISE,ivy-1.4,16 (6.64 %),6.64,EASC-RF,0.1739,0.7746,0.1156
PROMISE,ivy-1.4,16 (6.64 %),6.64,EASC-SVM,0.3243,0.7175,0.0667
PROMISE,e_learning,5 (7.81 %),7.81,EASC-DT,0.1739,0.5559,0.2712
PROMISE,e_learning,5 (7.81 %),7.81,EASC-LR,0.0,0.5119,0.0
PROMISE,e_learning,5 (7.81 %),7.81,EASC-NB,0.0,0.7932,0.0
PROMISE,e_learning,5 (7.81 %),7.81,EASC-RBF,0.0,0.8949,0.0
PROMISE,e_learning,5 (7.81 %),7.81,EASC-RF,0.0,0.7356,0.0339
PROMISE,e_learning,5 (7.81 %),7.81,EASC-SVM,0.0,0.6305,0.0
PROMISE,tomcat,77 (8.97 %),8.97,EASC-DT,0.2204,0.6013,0.315
PROMISE,tomcat,77 (8.97 %),8.97,EASC-LR,0.3707,0.7645,0.1152
PROMISE,tomcat,77 (8.97 %),8.97,EASC-NB,0.3836,0.8069,0.128
PROMISE,tomcat,77 (8.97 %),8.97,EASC-RBF,0.3786,0.818,0.1921
PROMISE,tomcat,77 (8.97 %),8.97,EASC-RF,0.3445,0.7806,0.1229
PROMISE,tomcat,77 (8.97 %),8.97,EASC-SVM,0.3805,0.778,0.1357
PROMISE,synapse-1.0,16 (10.19 %),10.19,EASC-DT,0.2683,0.6423,0.3901
PROMISE,synapse-1.0,16 (10.19 %),10.19,EASC-LR,0.2143,0.7872,0.0638
PROMISE,synapse-1.0,16 (10.19 %),10.19,EASC-NB,0.3333,0.7895,0.0638
PROMISE,synapse-1.0,16 (10.19 %),10.19,EASC-RBF,0.4255,0.777,0.1489
PROMISE,synapse-1.0,16 (10.19 %),10.19,EASC-RF,0.3509,0.7212,0.2199
PROMISE,synapse-1.0,16 (10.19 %),10.19,EASC-SVM,0.1111,0.8333,0.0071
PROMISE,ant-1.5,32 (10.92 %),10.92,EASC-DT,0.2766,0.6005,0.1877
PROMISE,ant-1.5,32 (10.92 %),10.92,EASC-LR,0.4333,0.7625,0.0575
PROMISE,ant-1.5,32 (10.92 %),10.92,EASC-NB,0.3947,0.771,0.1111
PROMISE,ant-1.5,32 (10.92 %),10.92,EASC-RBF,0.3947,0.7581,0.1111
PROMISE,ant-1.5,32 (10.92 %),10.92,EASC-RF,0.3864,0.7569,0.1494
PROMISE,ant-1.5,32 (10.92 %),10.92,EASC-SVM,0.4348,0.7435,0.0843
PROMISE,ivy-2.0,40 (11.36 %),11.36,EASC-DT,0.304,0.6073,0.2115
PROMISE,ivy-2.0,40 (11.36 %),11.36,EASC-LR,0.375,0.7183,0.0801
PROMISE,ivy-2.0,40 (11.36 %),11.36,EASC-NB,0.3913,0.799,0.109
PROMISE,ivy-2.0,40 (11.36 %),11.36,EASC-RBF,0.32,0.7973,0.0737
PROMISE,ivy-2.0,40 (11.36 %),11.36,EASC-RF,0.4078,0.7588,0.1346
PROMISE,ivy-2.0,40 (11.36 %),11.36,EASC-SVM,0.4762,0.8212,0.0769
PROMISE,arc,27 (11.54 %),11.54,EASC-DT,0.2796,0.6175,0.256
PROMISE,arc,27 (11.54 %),11.54,EASC-LR,0.2857,0.6427,0.0435
PROMISE,arc,27 (11.54 %),11.54,EASC-NB,0.2667,0.6688,0.058
PROMISE,arc,27 (11.54 %),11.54,EASC-RBF,0.3922,0.7347,0.0676
PROMISE,arc,27 (11.54 %),11.54,EASC-RF,0.3273,0.7495,0.0918
PROMISE,arc,27 (11.54 %),11.54,EASC-SVM,0.2353,0.6917,0.0145
PROMISE,poi-2.0,37 (11.78 %),11.78,EASC-DT,0.2034,0.5432,0.6318
PROMISE,poi-2.0,37 (11.78 %),11.78,EASC-LR,0.2281,0.5424,0.231
PROMISE,poi-2.0,37 (11.78 %),11.78,EASC-NB,0.2368,0.6167,0.1083
PROMISE,poi-2.0,37 (11.78 %),11.78,EASC-RBF,0.178,0.4451,0.4946
PROMISE,poi-2.0,37 (11.78 %),11.78,EASC-RF,0.208,0.4787,0.6751
PROMISE,poi-2.0,37 (11.78 %),11.78,EASC-SVM,0.2899,0.5999,0.0794
PROMISE,jedit-4.2,48 (13.08 %),13.08,EASC-DT,0.4381,0.6821,0.1066
PROMISE,jedit-4.2,48 (13.08 %),13.08,EASC-LR,0.4538,0.7948,0.1379
PROMISE,jedit-4.2,48 (13.08 %),13.08,EASC-NB,0.4559,0.8216,0.1787
PROMISE,jedit-4.2,48 (13.08 %),13.08,EASC-RBF,0.4545,0.7836,0.116
PROMISE,jedit-4.2,48 (13.08 %),13.08,EASC-RF,0.52,0.871,0.0815
PROMISE,jedit-4.2,48 (13.08 %),13.08,EASC-SVM,0.4356,0.8365,0.0972
PROMISE,systemdata,9 (13.85 %),13.85,EASC-DT,0.3529,0.6548,0.3393
PROMISE,systemdata,9 (13.85 %),13.85,EASC-LR,0.0,0.4821,0.0
PROMISE,systemdata,9 (13.85 %),13.85,EASC-NB,0.4615,0.744,0.0179
PROMISE,systemdata,9 (13.85 %),13.85,EASC-RBF,0.4,0.7877,0.0536
PROMISE,systemdata,9 (13.85 %),13.85,EASC-RF,0.3529,0.7937,0.0893
PROMISE,systemdata,9 (13.85 %),13.85,EASC-SVM,0.4286,0.7143,0.0357
PROMISE,xalan-2.4,110 (15.21 %),15.21,EASC-DT,0.3291,0.5996,0.3589
PROMISE,xalan-2.4,110 (15.21 %),15.21,EASC-LR,0.3724,0.7069,0.2055
PROMISE,xalan-2.4,110 (15.21 %),15.21,EASC-NB,0.3806,0.7221,0.23
PROMISE,xalan-2.4,110 (15.21 %),15.21,EASC-RBF,0.3825,0.727,0.3034
PROMISE,xalan-2.4,110 (15.21 %),15.21,EASC-RF,0.3063,0.6351,0.4519
PROMISE,xalan-2.4,110 (15.21 %),15.21,EASC-SVM,0.392,0.7778,0.0816
PROMISE,xerces-1.3,69 (15.23 %),15.23,EASC-DT,0.2969,0.4235,0.1042
PROMISE,xerces-1.3,69 (15.23 %),15.23,EASC-LR,0.313,0.793,0.0729
PROMISE,xerces-1.3,69 (15.23 %),15.23,EASC-NB,0.374,0.7783,0.0807
PROMISE,xerces-1.3,69 (15.23 %),15.23,EASC-RBF,0.3758,0.7056,0.1693
PROMISE,xerces-1.3,69 (15.23 %),15.23,EASC-RF,0.1946,0.5467,0.2552
PROMISE,xerces-1.3,69 (15.23 %),15.23,EASC-SVM,0.3279,0.6512,0.0859
PROMISE,redaktor,27 (15.34 %),15.34,EASC-DT,0.3238,0.6027,0.4094
PROMISE,redaktor,27 (15.34 %),15.34,EASC-LR,0.4828,0.7058,0.1141
PROMISE,redaktor,27 (15.34 %),15.34,EASC-NB,0.2727,0.6934,0.0738
PROMISE,redaktor,27 (15.34 %),15.34,EASC-RBF,0.5085,0.7287,0.1141
PROMISE,redaktor,27 (15.34 %),15.34,EASC-RF,0.3448,0.59,0.302
PROMISE,redaktor,27 (15.34 %),15.34,EASC-SVM,0.1304,0.5326,0.1074
PROMISE,ant-1.3,20 (16.0 %),16.0,EASC-DT,0.5581,0.741,0.1048
PROMISE,ant-1.3,20 (16.0 %),16.0,EASC-LR,0.3871,0.7833,0.0476
PROMISE,ant-1.3,20 (16.0 %),16.0,EASC-NB,0.3529,0.7588,0.0762
PROMISE,ant-1.3,20 (16.0 %),16.0,EASC-RBF,0.3889,0.7814,0.0857
PROMISE,ant-1.3,20 (16.0 %),16.0,EASC-RF,0.4737,0.8486,0.0857
PROMISE,ant-1.3,20 (16.0 %),16.0,EASC-SVM,0.3871,0.7995,0.0476
PROMISE,xerces-1.2,71 (16.14 %),16.14,EASC-DT,0.2174,0.4116,0.1409
PROMISE,xerces-1.2,71 (16.14 %),16.14,EASC-LR,0.2542,0.559,0.0867
PROMISE,xerces-1.2,71 (16.14 %),16.14,EASC-NB,0.24,0.4644,0.1057
PROMISE,xerces-1.2,71 (16.14 %),16.14,EASC-RBF,0.2,0.4417,0.1978
PROMISE,xerces-1.2,71 (16.14 %),16.14,EASC-RF,0.1502,0.4009,0.3415
PROMISE,xerces-1.2,71 (16.14 %),16.14,EASC-SVM,0.192,0.4875,0.1138
PROMISE,camel-1.4,145 (16.63 %),16.63,EASC-DT,0.4367,0.6506,0.1403
PROMISE,camel-1.4,145 (16.63 %),16.63,EASC-LR,0.1164,0.5829,0.0454
PROMISE,camel-1.4,145 (16.63 %),16.63,EASC-NB,0.2232,0.6848,0.0743
PROMISE,camel-1.4,145 (16.63 %),16.63,EASC-RBF,0.2756,0.7324,0.0674
PROMISE,camel-1.4,145 (16.63 %),16.63,EASC-RF,0.4414,0.7695,0.1114
PROMISE,camel-1.4,145 (16.63 %),16.63,EASC-SVM,0.1091,0.6282,0.0151
PROMISE,forrest-0.7,5 (17.24 %),17.24,EASC-DT,0.6,0.7333,0.0833
PROMISE,forrest-0.7,5 (17.24 %),17.24,EASC-LR,0.0,0.7167,0.0
PROMISE,forrest-0.7,5 (17.24 %),17.24,EASC-NB,0.0,0.5833,0.0
PROMISE,forrest-0.7,5 (17.24 %),17.24,EASC-RBF,0.0,0.65,0.0417
PROMISE,forrest-0.7,5 (17.24 %),17.24,EASC-RF,0.3333,0.7333,0.0
PROMISE,forrest-0.7,5 (17.24 %),17.24,EASC-SVM,0.0,0.5833,0.0
PROMISE,camel-1.6,188 (19.48 %),19.48,EASC-DT,0.3286,0.5709,0.1377
PROMISE,camel-1.6,188 (19.48 %),19.48,EASC-LR,0.0924,0.5282,0.0502
PROMISE,camel-1.6,188 (19.48 %),19.48,EASC-NB,0.2183,0.622,0.0837
PROMISE,camel-1.6,188 (19.48 %),19.48,EASC-RBF,0.2022,0.6147,0.0785
PROMISE,camel-1.6,188 (19.48 %),19.48,EASC-RF,0.3553,0.6739,0.0798
PROMISE,camel-1.6,188 (19.48 %),19.48,EASC-SVM,0.1127,0.5473,0.0167
PROMISE,pbeans-2,10 (19.61 %),19.61,EASC-DT,0.3478,0.5463,0.2195
PROMISE,pbeans-2,10 (19.61 %),19.61,EASC-LR,0.4286,0.6951,0.0244
PROMISE,pbeans-2,10 (19.61 %),19.61,EASC-NB,0.4286,0.7634,0.0244
PROMISE,pbeans-2,10 (19.61 %),19.61,EASC-RBF,0.3529,0.7854,0.0976
PROMISE,pbeans-2,10 (19.61 %),19.61,EASC-RF,0.5,0.7976,0.0488
PROMISE,pbeans-2,10 (19.61 %),19.61,EASC-SVM,0.4286,0.5951,0.0244
PROMISE,serapion,9 (20.0 %),20.0,EASC-DT,0.5556,0.7037,0.1111
PROMISE,skarbonka,9 (20.0 %),20.0,EASC-DT,0.3571,0.5664,0.3889
PROMISE,serapion,9 (20.0 %),20.0,EASC-LR,0.3636,0.679,0.0
PROMISE,skarbonka,9 (20.0 %),20.0,EASC-LR,0.1538,0.5525,0.0833
PROMISE,serapion,9 (20.0 %),20.0,EASC-NB,0.3636,0.8457,0.0
PROMISE,skarbonka,9 (20.0 %),20.0,EASC-NB,0.1538,0.7222,0.0833
PROMISE,serapion,9 (20.0 %),20.0,EASC-RBF,0.6154,0.7963,0.0
PROMISE,skarbonka,9 (20.0 %),20.0,EASC-RBF,0.5263,0.858,0.1389
PROMISE,serapion,9 (20.0 %),20.0,EASC-RF,0.625,0.8534,0.0556
PROMISE,skarbonka,9 (20.0 %),20.0,EASC-RF,0.381,0.713,0.2222
PROMISE,serapion,9 (20.0 %),20.0,EASC-SVM,0.5,0.6975,0.0
PROMISE,skarbonka,9 (20.0 %),20.0,EASC-SVM,0.25,0.6914,0.1389
PROMISE,kalkulator,6 (22.22 %),22.22,EASC-DT,0.4,0.6349,0.2857
PROMISE,kalkulator,6 (22.22 %),22.22,EASC-LR,0.0,0.3849,0.0
PROMISE,kalkulator,6 (22.22 %),22.22,EASC-NB,0.2,0.623,0.1429
PROMISE,kalkulator,6 (22.22 %),22.22,EASC-RBF,0.7692,0.9484,0.0952
PROMISE,kalkulator,6 (22.22 %),22.22,EASC-RF,0.1818,0.5913,0.1905
PROMISE,kalkulator,6 (22.22 %),22.22,EASC-SVM,0.0,0.6071,0.0
PROMISE,ant-1.7,166 (22.28 %),22.28,EASC-DT,0.4066,0.5974,0.2142
PROMISE,ant-1.7,166 (22.28 %),22.28,EASC-LR,0.4257,0.7584,0.0518
PROMISE,ant-1.7,166 (22.28 %),22.28,EASC-NB,0.4453,0.7802,0.0812
PROMISE,ant-1.7,166 (22.28 %),22.28,EASC-RBF,0.5112,0.7817,0.1157
PROMISE,ant-1.7,166 (22.28 %),22.28,EASC-RF,0.471,0.75,0.1226
PROMISE,ant-1.7,166 (22.28 %),22.28,EASC-SVM,0.4628,0.8066,0.0345
PROMISE,ant-1.4,40 (22.47 %),22.47,EASC-DT,0.2667,0.5261,0.1812
PROMISE,ant-1.4,40 (22.47 %),22.47,EASC-LR,0.1724,0.5131,0.0942
PROMISE,ant-1.4,40 (22.47 %),22.47,EASC-NB,0.2424,0.5394,0.1304
PROMISE,ant-1.4,40 (22.47 %),22.47,EASC-RBF,0.32,0.5653,0.1667
PROMISE,ant-1.4,40 (22.47 %),22.47,EASC-RF,0.2462,0.6205,0.1232
PROMISE,ant-1.4,40 (22.47 %),22.47,EASC-SVM,0.1967,0.5962,0.1087
PROMISE,jedit-4.0,75 (24.51 %),24.51,EASC-DT,0.5316,0.6974,0.1775
PROMISE,jedit-4.0,75 (24.51 %),24.51,EASC-LR,0.4037,0.7044,0.0519
PROMISE,jedit-4.0,75 (24.51 %),24.51,EASC-NB,0.4638,0.7475,0.1342
PROMISE,jedit-4.0,75 (24.51 %),24.51,EASC-RBF,0.3729,0.7353,0.0909
PROMISE,jedit-4.0,75 (24.51 %),24.51,EASC-RF,0.5833,0.848,0.1169
PROMISE,jedit-4.0,75 (24.51 %),24.51,EASC-SVM,0.4602,0.739,0.0519
PROMISE,log4j-1.0,34 (25.19 %),25.19,EASC-DT,0.4722,0.5836,0.2079
PROMISE,log4j-1.0,34 (25.19 %),25.19,EASC-LR,0.1026,0.7135,0.0297
PROMISE,log4j-1.0,34 (25.19 %),25.19,EASC-NB,0.2857,0.7973,0.0198
PROMISE,log4j-1.0,34 (25.19 %),25.19,EASC-RBF,0.3571,0.7755,0.1188
PROMISE,log4j-1.0,34 (25.19 %),25.19,EASC-RF,0.4533,0.6584,0.2376
PROMISE,log4j-1.0,34 (25.19 %),25.19,EASC-SVM,0.1622,0.7382,0.0
PROMISE,jedit-4.1,79 (25.32 %),25.32,EASC-DT,0.5067,0.6652,0.1416
PROMISE,jedit-4.1,79 (25.32 %),25.32,EASC-LR,0.4655,0.7123,0.0429
PROMISE,jedit-4.1,79 (25.32 %),25.32,EASC-NB,0.5772,0.7821,0.1159
PROMISE,jedit-4.1,79 (25.32 %),25.32,EASC-RBF,0.4355,0.7597,0.0773
PROMISE,jedit-4.1,79 (25.32 %),25.32,EASC-RF,0.5547,0.8459,0.0858
PROMISE,jedit-4.1,79 (25.32 %),25.32,EASC-SVM,0.4615,0.7647,0.0472
PROMISE,ant-1.6,92 (26.21 %),26.21,EASC-DT,0.5212,0.6631,0.1158
PROMISE,ant-1.6,92 (26.21 %),26.21,EASC-LR,0.384,0.814,0.0347
PROMISE,ant-1.6,92 (26.21 %),26.21,EASC-NB,0.4211,0.7827,0.1081
PROMISE,ant-1.6,92 (26.21 %),26.21,EASC-RBF,0.5443,0.8216,0.0888
PROMISE,ant-1.6,92 (26.21 %),26.21,EASC-RF,0.4968,0.8089,0.1004
PROMISE,ant-1.6,92 (26.21 %),26.21,EASC-SVM,0.3881,0.8149,0.0618
PROMISE,synapse-1.1,60 (27.03 %),27.03,EASC-DT,0.3478,0.536,0.216
PROMISE,synapse-1.1,60 (27.03 %),27.03,EASC-LR,0.2192,0.7141,0.0309
PROMISE,synapse-1.1,60 (27.03 %),27.03,EASC-NB,0.3696,0.7001,0.0926
